epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,284.398,0.87715,2.70471,1.88735,0.75707,0.55297,0.6579,0.39418,0.93937,2.02422,1.94472,0.00999373,0.00333124,0.00999373,0.00333124,0.00999373,0.00333124,0.00999373,0.00333124
2,521.593,0.88078,2.79442,1.88692,0.73013,0.54621,0.63496,0.37232,0.93711,2.10356,1.9409,0.0198606,0.00662019,0.0198606,0.00662019,0.0198606,0.00662019,0.0198606,0.00662019
3,723.079,0.91658,3.02285,1.93712,0.52068,0.45795,0.46241,0.23307,1.10101,2.86894,2.21714,0.0295942,0.00986474,0.0295942,0.00986474,0.0295942,0.00986474,0.0295942,0.00986474
4,922.945,0.97806,3.37078,2.02235,0.51032,0.4447,0.45102,0.23754,1.05539,2.7606,2.14463,0.0294006,0.0098002,0.0294006,0.0098002,0.0294006,0.0098002,0.0294006,0.0098002
5,1131.17,0.98195,3.45231,2.03174,0.51545,0.4449,0.44308,0.22416,1.05957,2.85749,2.13666,0.0292008,0.0097336,0.0292008,0.0097336,0.0292008,0.0097336,0.0292008,0.0097336
6,1338.97,0.98791,3.46374,2.04223,0.48949,0.45242,0.44545,0.22725,1.09312,2.85415,2.18892,0.029001,0.009667,0.029001,0.009667,0.029001,0.009667,0.029001,0.009667
7,1546.39,0.97981,3.48574,2.02512,0.51489,0.46242,0.46488,0.23929,1.05267,2.71952,2.11273,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004,0.0288012,0.0096004
8,1755.11,0.9883,3.49072,2.04191,0.55293,0.43787,0.47429,0.23997,1.10309,2.84358,2.17243,0.0286014,0.0095338,0.0286014,0.0095338,0.0286014,0.0095338,0.0286014,0.0095338
9,1963.34,0.98979,3.4043,2.04547,0.54093,0.46927,0.48422,0.24728,1.04068,2.68422,2.10004,0.0284016,0.0094672,0.0284016,0.0094672,0.0284016,0.0094672,0.0284016,0.0094672
10,2171.62,0.98022,3.42459,2.03944,0.45202,0.39283,0.38163,0.19104,1.11307,3.10936,2.21095,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
11,2379.98,0.97636,3.37488,2.02221,0.48937,0.3879,0.39341,0.19087,1.16415,3.22953,2.3468,0.028002,0.009334,0.028002,0.009334,0.028002,0.009334,0.028002,0.009334
12,2588.2,0.97827,3.36773,2.02814,0.50031,0.45417,0.46038,0.2404,1.04989,2.82673,2.12359,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
13,2796.7,0.97434,3.35101,2.01054,0.54597,0.47435,0.49646,0.26472,1.00831,2.5924,2.05272,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
14,3004.58,0.9808,3.37202,2.02795,0.54013,0.48915,0.49625,0.25991,1.02653,2.58638,2.07839,0.0274026,0.0091342,0.0274026,0.0091342,0.0274026,0.0091342,0.0274026,0.0091342
15,3212.61,0.98026,3.38427,2.03424,0.5587,0.47426,0.50016,0.27076,0.99173,2.53088,2.00896,0.0272028,0.0090676,0.0272028,0.0090676,0.0272028,0.0090676,0.0272028,0.0090676
16,3420.89,0.97817,3.28004,2.02288,0.57664,0.48441,0.51995,0.27856,0.99639,2.50189,2.02909,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
17,3629.53,0.97273,3.3404,2.02682,0.57625,0.46473,0.5067,0.26604,1.03883,2.64115,2.1011,0.0268032,0.0089344,0.0268032,0.0089344,0.0268032,0.0089344,0.0268032,0.0089344
18,3838.02,0.97356,3.34433,2.01251,0.57722,0.48487,0.52306,0.28672,1.00662,2.53661,2.04135,0.0266034,0.0088678,0.0266034,0.0088678,0.0266034,0.0088678,0.0266034,0.0088678
19,4046.51,0.96696,3.27223,2.00867,0.58424,0.48769,0.52839,0.28331,0.99466,2.48664,2.02213,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
20,4254.91,0.96674,3.24238,2.0017,0.60112,0.49483,0.54381,0.29632,0.97608,2.4474,2.01868,0.0262038,0.0087346,0.0262038,0.0087346,0.0262038,0.0087346,0.0262038,0.0087346
21,4463.28,0.96311,3.21511,1.99928,0.60013,0.50068,0.54726,0.30484,0.96648,2.42828,1.98606,0.026004,0.008668,0.026004,0.008668,0.026004,0.008668,0.026004,0.008668
22,4671.57,0.95696,3.17111,1.98979,0.62614,0.49531,0.5566,0.30828,0.97101,2.40834,2.00134,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
23,4879.69,0.95754,3.17401,1.98772,0.59879,0.4909,0.54237,0.30536,0.9608,2.42597,2.00315,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
24,5087.61,0.95522,3.16188,1.99545,0.63919,0.50087,0.56504,0.31471,0.96487,2.33988,1.99538,0.0254046,0.0084682,0.0254046,0.0084682,0.0254046,0.0084682,0.0254046,0.0084682
